task,task_label,item_id,item_label,base_prompt,axis,axis_definition
translation,Translation,0,NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,1,从可视化地图看，东方国家对比特币的态度比西方更为保守，占全球主体的国家仍在观望数字货币合法性，代表“黑天鹅风险”依旧很大。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
从可视化地图看，东方国家对比特币的态度比西方更为保守，占全球主体的国家仍在观望数字货币合法性，代表“黑天鹅风险”依旧很大。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,10,应越南共产党中央委员会总书记阮富仲、越南社会主义共和国主席陈大光、老挝人民革命党中央委员会总书记、老挝人民民主共和国主席本扬邀请。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
应越南共产党中央委员会总书记阮富仲、越南社会主义共和国主席陈大光、老挝人民革命党中央委员会总书记、老挝人民民主共和国主席本扬邀请。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,11,浙江吉利控股集团27日宣布与欧洲基金公司Cevian Capital达成一致，将收购其持有的沃尔沃集团（AB Volvo）8847万股的A股股票和7877万股的B股股票。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
浙江吉利控股集团27日宣布与欧洲基金公司Cevian Capital达成一致，将收购其持有的沃尔沃集团（AB Volvo）8847万股的A股股票和7877万股的B股股票。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,12,看到这样的数据，让人不禁有些瞠目结舌，根据苏宁金融研究院的统计数据显示，1996年中国居民杠杆率只有3%，2008年也仅为18%，但是自2008年以来居民杠杆率开始呈现迅速增长态势，短短六年间翻了一倍，达到36.4%。到了2017年三季度居民杠杆率已经高达48.6%。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
看到这样的数据，让人不禁有些瞠目结舌，根据苏宁金融研究院的统计数据显示，1996年中国居民杠杆率只有3%，2008年也仅为18%，但是自2008年以来居民杠杆率开始呈现迅速增长态势，短短六年间翻了一倍，达到36.4%。到了2017年三季度居民杠杆率已经高达48.6%。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,13,人类是否可以像实验中的小白鼠一样将体内来自路氏乳杆菌的色氨酸副产物诱导细胞发育，目前尚未可知，但在炎症性肠病患者中发现与色氨酸有关的基因缺陷。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
人类是否可以像实验中的小白鼠一样将体内来自路氏乳杆菌的色氨酸副产物诱导细胞发育，目前尚未可知，但在炎症性肠病患者中发现与色氨酸有关的基因缺陷。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,14,对于中国的移动支付的全球化方式，艾瑞咨询《中国第三方移动支付行业研究报告2017》总结为两种：一是通过战略投资，经验输出，入股并扶持国外本土移动支付企业。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
对于中国的移动支付的全球化方式，艾瑞咨询《中国第三方移动支付行业研究报告2017》总结为两种：一是通过战略投资，经验输出，入股并扶持国外本土移动支付企业。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,15,项目实施后，对促进六安市区域科学发展，实现湖泊休养生息，加快流域水环境质量改善，保障饮用水安全，推进节能减排具有积极作用。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
项目实施后，对促进六安市区域科学发展，实现湖泊休养生息，加快流域水环境质量改善，保障饮用水安全，推进节能减排具有积极作用。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,16,昨日，著名的PFC能源公司公布了2011年上市能源公司50强排名，美国石油天然气生产商埃克森美孚以4063亿美元的市值蝉联冠军，中国石油和荷兰皇家壳牌紧随之后。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
昨日，著名的PFC能源公司公布了2011年上市能源公司50强排名，美国石油天然气生产商埃克森美孚以4063亿美元的市值蝉联冠军，中国石油和荷兰皇家壳牌紧随之后。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,17,澳洲统计局(ABS)数据显示，今年第二季度，全澳房屋价值平均上涨1.5%至2%，年增3.5%，创自2013年3月以来最低年增率。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
澳洲统计局(ABS)数据显示，今年第二季度，全澳房屋价值平均上涨1.5%至2%，年增3.5%，创自2013年3月以来最低年增率。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,18,2月10日消息：记者昨天从常州市农委获悉，在2016年成功创成国家森林城市的基础上，今年，常州市将深入实施《江苏省常州国家森林城市建设总体规划（2014-2025）》，巩固提升国家森林城市建设成果，建设绿色和谐、全民共享的高品质森林城市。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
2月10日消息：记者昨天从常州市农委获悉，在2016年成功创成国家森林城市的基础上，今年，常州市将深入实施《江苏省常州国家森林城市建设总体规划（2014-2025）》，巩固提升国家森林城市建设成果，建设绿色和谐、全民共享的高品质森林城市。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,19,这十部音乐IP作品，方文山会自己执导一到两部，当周董被问到是否会帮忙执导时，周杰伦坦言当导演压力太大，希望找一些年轻的导演，让他们有发挥的空间。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
这十部音乐IP作品，方文山会自己执导一到两部，当周董被问到是否会帮忙执导时，周杰伦坦言当导演压力太大，希望找一些年轻的导演，让他们有发挥的空间。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,2,国际在线消息（记者刘湃）：18日，意大利驻华使馆经济商务处举办中国－意大利环保洽谈会，来自两国企业和科研机构人士就新形势下两国在可再生资源领域的合作广泛交换意见，达成积极共识。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
国际在线消息（记者刘湃）：18日，意大利驻华使馆经济商务处举办中国－意大利环保洽谈会，来自两国企业和科研机构人士就新形势下两国在可再生资源领域的合作广泛交换意见，达成积极共识。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,20,今天上午举行的《北京市控制吸烟条例》实施一周年宣传活动上，“我的控烟宣言”全国青年控烟微视频获奖的青年学生代表与全国控烟宣传形象大使黄轩互动，并且回顾了征集活动视频及获奖优秀作品展映。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
今天上午举行的《北京市控制吸烟条例》实施一周年宣传活动上，“我的控烟宣言”全国青年控烟微视频获奖的青年学生代表与全国控烟宣传形象大使黄轩互动，并且回顾了征集活动视频及获奖优秀作品展映。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,21,另外，今天还将出让白云区同和东坑蟾蜍石北路一幅二类居住用地（R2），用地面积32891平方米（可建设用地30965平方米），建筑面积92895平方米，挂牌起始价61311万元，折合楼面地价6600元/平方米。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
另外，今天还将出让白云区同和东坑蟾蜍石北路一幅二类居住用地（R2），用地面积32891平方米（可建设用地30965平方米），建筑面积92895平方米，挂牌起始价61311万元，折合楼面地价6600元/平方米。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,22,另外惠工路和万达广场两条步行街的园林绿化、景观地铺进行了提档升级，种植乔木约300株，改造地铺4万平方米，提升了南坪商圈形象；,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
另外惠工路和万达广场两条步行街的园林绿化、景观地铺进行了提档升级，种植乔木约300株，改造地铺4万平方米，提升了南坪商圈形象；
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,23,该种不治之症为约 130 万名美国人和约30万英国人带来生活影响，导致胃痉挛和腹胀、经常性或出血性腹泻、体重减轻和极度疲倦等。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
该种不治之症为约 130 万名美国人和约30万英国人带来生活影响，导致胃痉挛和腹胀、经常性或出血性腹泻、体重减轻和极度疲倦等。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,24,《大鱼海棠》原作者梁旋，21岁从清华大学热能动力专业肄业，和好友张春一起创立了彼岸天，2008年获得联创策源百万美金的风险投资，启动了动画电影处女作《大鱼海棠》。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
《大鱼海棠》原作者梁旋，21岁从清华大学热能动力专业肄业，和好友张春一起创立了彼岸天，2008年获得联创策源百万美金的风险投资，启动了动画电影处女作《大鱼海棠》。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,25,11月3日—6日，在第十六届中国西部国际博览会（以下简称“西博会”）第一阶段展览中，成都、南充、雅安等6个市州纷纷展示在先进制造业方面的发展成果，其中新能源汽车崭露锋芒，新品迭出，引起业界的广泛关注。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
11月3日—6日，在第十六届中国西部国际博览会（以下简称“西博会”）第一阶段展览中，成都、南充、雅安等6个市州纷纷展示在先进制造业方面的发展成果，其中新能源汽车崭露锋芒，新品迭出，引起业界的广泛关注。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,26,这位北爱尔兰人去年带领隔壁的阿彻菲尔德·林克斯挺进了决赛，但最终输给了保罗·伊尔斯。他现在为该新会场工作，代表俱乐部创始人兼首席执行官杰瑞·萨尔瓦蒂担任赛事大使。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
这位北爱尔兰人去年带领隔壁的阿彻菲尔德·林克斯挺进了决赛，但最终输给了保罗·伊尔斯。他现在为该新会场工作，代表俱乐部创始人兼首席执行官杰瑞·萨尔瓦蒂担任赛事大使。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,27,近日，由浙江省旅游局、浙江日报报业集团主办，浙报集团旅游全媒体中心承办的“小镇×未来艺术家”分享汇暨“诗画浙江?镇有风情”2017浙江旅游风情小镇推广季闭幕式在浙江省展览馆举行。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
近日，由浙江省旅游局、浙江日报报业集团主办，浙报集团旅游全媒体中心承办的“小镇×未来艺术家”分享汇暨“诗画浙江?镇有风情”2017浙江旅游风情小镇推广季闭幕式在浙江省展览馆举行。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,28,来自马尼拉、目前在“北京儿童”网站担任副总编的安迪·佩尼亚富埃尔特说：“北京正在迅速转变为一个无现金社会，互联网把传统钱包的功能整合到智能手机上，使每个人都能更容易地进行许多交易。”,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
来自马尼拉、目前在“北京儿童”网站担任副总编的安迪·佩尼亚富埃尔特说：“北京正在迅速转变为一个无现金社会，互联网把传统钱包的功能整合到智能手机上，使每个人都能更容易地进行许多交易。”
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,29,现在，尽快在全国范围内推出这项试验以便保护接触艾滋病毒的人员，并帮助我们更进一步地终止艾滋病毒在社会中的传播，这点非常重要。”,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
现在，尽快在全国范围内推出这项试验以便保护接触艾滋病毒的人员，并帮助我们更进一步地终止艾滋病毒在社会中的传播，这点非常重要。”
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,3,俄罗斯副总理维塔利·穆特科表示，落实世界反兴奋剂机构 (WADA) 针对恢复俄罗斯反兴奋剂机构 (RUSADA) 权利的剩余标准不会花费过长时间。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
俄罗斯副总理维塔利·穆特科表示，落实世界反兴奋剂机构 (WADA) 针对恢复俄罗斯反兴奋剂机构 (RUSADA) 权利的剩余标准不会花费过长时间。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,4,“当人们乐于加入公司、感受到他们的声音被聆听、他们所做的工作是有益的，他们就会更加致力于让公司取得成功，”LinkedIn 全球福利和员工体验副总裁妮娜·麦卡特尼表示。LinkedIn 同时使用 Convercent 和 Glint 这两款软件。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
“当人们乐于加入公司、感受到他们的声音被聆听、他们所做的工作是有益的，他们就会更加致力于让公司取得成功，”LinkedIn 全球福利和员工体验副总裁妮娜·麦卡特尼表示。LinkedIn 同时使用 Convercent 和 Glint 这两款软件。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,5,性爱机器人的兴起带来很多不安——不仅仅是取代了真实的人类关系——而且卑躬屈膝的女性特征以及在冷艳（解读为：抗拒）法拉身上抽动的强奸暗示是最令人担忧的。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
性爱机器人的兴起带来很多不安——不仅仅是取代了真实的人类关系——而且卑躬屈膝的女性特征以及在冷艳（解读为：抗拒）法拉身上抽动的强奸暗示是最令人担忧的。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,6,吉尔伯托·罗德里格斯·欧华拉（达米安·阿尔卡扎饰）是卡利集团的领导人，米格尔·罗德里格斯·欧华拉（弗朗西斯科·丹尼斯饰）是卡利集团的智囊，Pacho Herrera帕乔·赫雷拉（阿尔伯托·阿曼饰）负责运营墨西哥的网络，彻普·圣克鲁斯·伦敦诺（佩佩·拉帕佐特饰）负责纽约的运营。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
吉尔伯托·罗德里格斯·欧华拉（达米安·阿尔卡扎饰）是卡利集团的领导人，米格尔·罗德里格斯·欧华拉（弗朗西斯科·丹尼斯饰）是卡利集团的智囊，Pacho Herrera帕乔·赫雷拉（阿尔伯托·阿曼饰）负责运营墨西哥的网络，彻普·圣克鲁斯·伦敦诺（佩佩·拉帕佐特饰）负责纽约的运营。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,7,二月份特朗普就受到关注，当时是在佛罗里达州墨尔本，总统专机慢慢滑行，最终停到了他第一次竞选集会的背景布处，而他的推特账户充斥着对前任总统使用总统专机的抱怨信息。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
二月份特朗普就受到关注，当时是在佛罗里达州墨尔本，总统专机慢慢滑行，最终停到了他第一次竞选集会的背景布处，而他的推特账户充斥着对前任总统使用总统专机的抱怨信息。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,8,北京市卫计委公布的数据显示，2017年第46周，流感报告数不超过500例，到新年第一周，这个数字变成9548例，是前者的19倍。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
北京市卫计委公布的数据显示，2017年第46周，流感报告数不超过500例，到新年第一周，这个数字变成9548例，是前者的19倍。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
translation,Translation,9,2 月份，Convercent 从 Sapphire Ventures 和 Tola Capital 等公司筹集了 1000 万美元的资金，其总资本上升至 4700 万美元。,"Translate the following Chinese passage into English. Output ONLY the English translation, nothing else (no preamble, no commentary, no source text echoed back).

CHINESE PASSAGE:
""""""
2 月份，Convercent 从 Sapphire Ventures 和 Tola Capital 等公司筹集了 1000 万美元的资金，其总资本上升至 4700 万美元。
""""""",translation_quality,"Which English translation is better, judged on faithfulness to the Chinese source's meaning and tone, fluency of the English, register matching, and natural idiomaticity?"
